"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","COCALITE","COCALITETime","COCALITETime-4","COCALITETime-3","COCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"PhalangesOutlinesCorrect",0.837179487179487,0.832517482517483,0.829370629370629,0.851981351981352,0.851515151515152,0.847902097902098,0.844988344988345,0.837995337995338,0.847319347319347,0.823076915740967,0.819347310066223
"Phoneme",0.326107594936709,0.278006329113924,0.306329113924051,0.322784810126582,0.32289029535865,0.32120253164557,0.317405063291139,0.332278481012658,0.285864978902954,0.315928274393082,0.264556965231895
"PickupGestureWiimoteZ",0.772,0.798,0.792,0.78,0.784,0.796,0.792,0.78,0.82,0.76399998664856,0.783999991416931
"PigAirwayPressure",0.455769230769231,0.458173076923077,0.473076923076923,0.543269230769231,0.540384615384615,0.529807692307692,0.522596153846154,0.504807692307692,0.471153846153846,0.391346162557602,0.423076927661896
"PigArtPressure",0.991826923076923,0.975,0.986538461538462,0.995192307692308,0.995192307692308,0.99375,0.992788461538462,0.995192307692308,0.980769230769231,0.9875,0.970192313194275
"PigCVP",0.955769230769231,0.905769230769231,0.942307692307692,0.956730769230769,0.955769230769231,0.954326923076923,0.950961538461539,0.956730769230769,0.923076923076923,0.948076915740967,0.881730771064758
"PLAID",0.913221601489758,0.891806331471136,0.906145251396648,0.918063314711359,0.91731843575419,0.916945996275605,0.915642458100559,0.919925512104283,0.899441340782123,0.906145262718201,0.88379887342453
"Plane",1,1,1,1,1,1,1,1,1,1,1
"PowerCons",0.957777777777778,0.963888888888889,0.953333333333333,0.966666666666667,0.966666666666666,0.965555555555556,0.963333333333333,0.961111111111111,0.966666666666667,0.952222216129303,0.955555534362793
"ProximalPhalanxOutlineCorrect",0.917182130584192,0.915463917525773,0.916838487972509,0.924398625429553,0.926460481099656,0.923024054982818,0.921305841924399,0.920962199312715,0.914089347079038,0.909965634346008,0.907216477394104
"ProximalPhalanxOutlineAgeGroup",0.845365853658537,0.829756097560976,0.845853658536585,0.839024390243902,0.842926829268293,0.840975609756098,0.841951219512195,0.84390243902439,0.834146341463415,0.83609756231308,0.832195103168488
"ProximalPhalanxTW",0.791707317073171,0.778048780487805,0.782439024390244,0.780487804878049,0.786341463414634,0.785853658536585,0.787804878048781,0.795121951219512,0.770731707317073,0.784390246868133,0.779512190818787
"RefrigerationDevices",0.506666666666667,0.5088,0.508266666666667,0.504,0.502933333333333,0.5056,0.504533333333333,0.509333333333333,0.517333333333333,0.511466664075851,0.496000009775162
"Rock",0.834,0.818,0.848,0.86,0.86,0.858,0.856,0.84,0.84,0.83199999332428,0.811999988555908
"ScreenType",0.58,0.5576,0.570133333333333,0.56,0.571733333333333,0.571733333333333,0.571733333333333,0.594666666666667,0.573333333333333,0.568533325195313,0.549333333969116
"SemgHandGenderCh2",0.860166666666667,0.86,0.871333333333334,0.88,0.878333333333333,0.875166666666667,0.873166666666667,0.863333333333333,0.858333333333333,0.849333345890045,0.850999999046326
"SemgHandMovementCh2",0.487111111111111,0.431555555555556,0.460444444444445,0.502222222222222,0.507555555555556,0.501777777777778,0.492888888888889,0.511111111111111,0.457777777777778,0.459555560350418,0.401777780056
"SemgHandSubjectCh2",0.778222222222222,0.815777777777778,0.800444444444445,0.831111111111111,0.824444444444444,0.82,0.816222222222222,0.791111111111111,0.826666666666667,0.758222234249115,0.790222227573395
"ShakeGestureWiimoteZ",0.932,0.886,0.924,0.94,0.94,0.944,0.93,0.94,0.9,0.927999997138977,0.880000007152557
"ShapeletSim",0.75,0.974444444444444,0.951111111111111,0.955555555555556,0.957777777777778,0.958333333333333,0.955555555555555,0.772222222222222,0.977777777777778,0.725555551052093,0.962222218513489
"ShapesAll",0.906666666666667,0.899333333333333,0.905,0.916666666666667,0.918,0.916666666666667,0.914666666666667,0.913333333333333,0.913333333333333,0.891666662693024,0.885999989509582
"SmallKitchenAppliances",0.762666666666667,0.769333333333333,0.771733333333333,0.776,0.7792,0.777866666666667,0.7768,0.76,0.784,0.754133319854736,0.759466671943665
"SmoothSubspace",0.986,0.978666666666667,0.982666666666666,0.986666666666667,0.986666666666667,0.986666666666667,0.986,0.986666666666667,0.986666666666667,0.981333339214325,0.958666658401489
"SonyAIBORobotSurface1",0.837770382695508,0.919134775374376,0.891514143094842,0.886855241264559,0.8891846921797,0.888685524126456,0.888519134775374,0.838602329450915,0.925124792013311,0.838935101032257,0.922462546825409
"SonyAIBORobotSurface2",0.946484784889822,0.826232948583421,0.85414480587618,0.945435466946485,0.944176285414481,0.942602308499475,0.921196222455404,0.947534102833158,0.910807974816369,0.942917096614838,0.831899261474609
"StarLightCurves",0.976432734337057,0.976056338028169,0.976396308887809,0.978144730451676,0.977780475959203,0.977537639630889,0.977197668771248,0.977051966974259,0.976687712481787,0.975206410884857,0.974283623695374
"Strawberry",0.979189189189189,0.978648648648649,0.975675675675676,0.981081081081081,0.98,0.97972972972973,0.979459459459459,0.983783783783784,0.978378378378378,0.976756763458252,0.975675690174103
"SwedishLeaf",0.96,0.95744,0.96352,0.9664,0.96704,0.9656,0.96384,0.9616,0.9616,0.955519998073578,0.949119997024536
"Symbols",0.980603015075377,0.961407035175879,0.970452261306532,0.976884422110553,0.976482412060301,0.975175879396985,0.974170854271357,0.980904522613065,0.960804020100503,0.979497492313385,0.961608040332794
"SyntheticControl",0.999333333333333,0.997,0.998,0.996666666666667,0.997333333333333,0.997666666666667,0.997666666666667,1,0.996666666666667,0.998666667938232,0.997333335876465
"ToeSegmentation1",0.971052631578947,0.955701754385965,0.960526315789474,0.956140350877193,0.957017543859649,0.957456140350877,0.958333333333333,0.973684210526316,0.956140350877193,0.968421041965485,0.955263149738312
"ToeSegmentation2",0.936923076923077,0.937692307692308,0.936923076923077,0.938461538461538,0.938461538461538,0.936923076923077,0.936923076923077,0.930769230769231,0.938461538461538,0.938461530208588,0.933846139907837
"Trace",1,1,1,1,1,1,1,1,1,1,1
"TwoLeadECG",0.996839332748025,0.996927129060579,0.996839332748025,0.997366110623354,0.997366110623354,0.997366110623354,0.997014925373134,0.997366110623354,0.997366110623354,0.996312546730042,0.996136963367462
"TwoPatterns",1,1,1,1,1,1,1,1,1,1,0.999950003623962
"UMD",0.972222222222222,0.978472222222222,0.979166666666667,0.979166666666667,0.977777777777778,0.979166666666667,0.980555555555556,0.979166666666667,0.979166666666667,0.972222220897674,0.970833325386047
"UWaveGestureLibraryAll",0.907035175879397,0.917783361250698,0.918090452261307,0.927973199329983,0.927191513121161,0.926633165829145,0.92428810720268,0.914572864321608,0.928252372975991,0.894807362556458,0.904355096817017
"UWaveGestureLibraryX",0.818313791178113,0.808626465661642,0.814740368509213,0.827470686767169,0.826912339475154,0.825069793411502,0.823003908431044,0.825516471245114,0.822724734785036,0.806365168094635,0.794528198242187
"UWaveGestureLibraryY",0.743020658849805,0.727666108319375,0.735845896147404,0.764935790061418,0.761920714684534,0.757816862088219,0.751730876605248,0.762981574539363,0.74036850921273,0.723673927783966,0.706253480911255
"UWaveGestureLibraryZ",0.768285873813512,0.756504745951982,0.76286990508096,0.776940256839754,0.778280290340592,0.776940256839754,0.773869346733668,0.7749860413177,0.768285873813512,0.754494690895081,0.740256834030151
"Wafer",0.999091499026606,0.998264114211551,0.998734587929916,0.998864373783258,0.998799480856587,0.998799480856587,0.998783257624919,0.998864373783258,0.998377676833225,0.999221289157867,0.99808566570282
"Wine",0.618518518518518,0.777777777777778,0.725925925925926,0.759259259259259,0.751851851851852,0.757407407407407,0.755555555555556,0.666666666666667,0.777777777777778,0.644444453716278,0.766666674613953
"WordSynonyms",0.710031347962382,0.692476489028213,0.702194357366771,0.730407523510972,0.729780564263323,0.72601880877743,0.717868338557994,0.721003134796238,0.711598746081505,0.684326028823852,0.672100305557251
"Worms",0.812987012987013,0.757142857142857,0.805194805194805,0.818181818181818,0.818181818181818,0.818181818181818,0.812987012987013,0.831168831168831,0.766233766233766,0.805194795131683,0.740259730815887
"WormsTwoClass",0.814285714285714,0.755844155844156,0.797402597402597,0.792207792207792,0.797402597402597,0.802597402597403,0.798701298701299,0.805194805194805,0.766233766233766,0.812987005710602,0.748051941394806
"Yoga",0.910733333333333,0.894266666666666,0.904533333333333,0.911666666666667,0.912266666666667,0.911433333333333,0.909133333333333,0.918333333333333,0.899666666666667,0.902133333683014,0.885600006580353
